5 : 5, data missing, NULL
5 : 4 1, 1, 0
5 : 3 2, 1, 0
5 : 3 1 1, 1, 0
5 : 2 2 1, 1, 0
5 : 2 1 1 1, 1, 0
5 : 1 1 1 1 1, 1, 0
4 1 : 4 1, 1, 0
4 1 : 3 2, 1, 0
4 1 : 3 1 1, x + 1, 1
4 1 : 2 2 1, x + 1, 1
4 1 : 2 1 1 1, x**2/2 + 3*x/2 + 1, 2
4 1 : 1 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
3 2 : 3 2, 1, 0
3 2 : 3 1 1, 1, 0
3 2 : 2 2 1, x + 1, 1
3 2 : 2 1 1 1, x**2/2 + 3*x/2 + 1, 2
3 2 : 1 1 1 1 1, x**3/2 + 3*x**2/2 + 2*x + 1, 3
3 1 1 : 3 1 1, 1, 0
3 1 1 : 2 2 1, 1, 0
3 1 1 : 2 1 1 1, x**2/2 + 3*x/2 + 1, 2
3 1 1 : 1 1 1 1 1, x**4/12 + 2*x**3/3 + 23*x**2/12 + 7*x/3 + 1, 4
2 2 1 : 2 2 1, 1, 0
2 2 1 : 2 1 1 1, x + 1, 1
2 2 1 : 1 1 1 1 1, x**4/12 + 2*x**3/3 + 23*x**2/12 + 7*x/3 + 1, 4
2 1 1 1 : 2 1 1 1, 1, 0
2 1 1 1 : 1 1 1 1 1, x**3/6 + x**2 + 11*x/6 + 1, 3
1 1 1 1 1 : 1 1 1 1 1, 1, 0
