10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6472749710083008s
10 : 9 1, Dimension too high, 0, time: 0.24110889434814453s
10 : 8 2, Dimension too high, 0, time: 0.033406972885131836s
10 : 8 1 1, Dimension too high, 0, time: 0.08498716354370117s
10 : 7 3, Dimension too high, 0, time: 0.03348803520202637s
10 : 7 2 1, Dimension too high, 0, time: 0.0578770637512207s
10 : 7 1 1 1, Dimension too high, 0, time: 0.12653899192810059s
10 : 6 4, Dimension too high, 0, time: 0.033699989318847656s
10 : 6 3 1, Dimension too high, 0, time: 0.057691097259521484s
10 : 6 2 2, Dimension too high, 0, time: 0.05768394470214844s
10 : 6 2 1 1, Dimension too high, 0, time: 0.0939629077911377s
10 : 6 1 1 1 1, Dimension too high, 0, time: 0.1782550811767578s
10 : 5 5, Dimension too high, 0, time: 0.033699989318847656s
10 : 5 4 1, Dimension too high, 0, time: 0.05789303779602051s
10 : 5 3 2, Dimension too high, 0, time: 0.05770707130432129s
10 : 5 3 1 1, Dimension too high, 0, time: 0.09389996528625488s
10 : 5 2 2 1, Dimension too high, 0, time: 0.09410309791564941s
10 : 5 2 1 1 1, Dimension too high, 0, time: 0.1552278995513916s
10 : 5 1 1 1 1 1, Dimension too high, 0, time: 0.2802729606628418s
10 : 4 4 2, Dimension too high, 0, time: 0.05834603309631348s
10 : 4 4 1 1, Dimension too high, 0, time: 0.09388184547424316s
10 : 4 3 3, Dimension too high, 0, time: 0.0579221248626709s
10 : 4 3 2 1, Dimension too high, 0, time: 0.09369492530822754s
10 : 4 3 1 1 1, Dimension too high, 0, time: 0.14932703971862793s
10 : 4 2 2 2, Dimension too high, 0, time: 0.09439706802368164s
10 : 4 2 2 1 1, Dimension too high, 0, time: 0.14964008331298828s
10 : 4 2 1 1 1 1, Dimension too high, 0, time: 0.24335789680480957s
10 : 4 1 1 1 1 1 1, Dimension too high, 0, time: 0.43320298194885254s
10 : 3 3 3 1, Dimension too high, 0, time: 0.09392285346984863s
10 : 3 3 2 2, Dimension too high, 0, time: 0.09344196319580078s
10 : 3 3 2 1 1, Dimension too high, 0, time: 0.14843010902404785s
10 : 3 3 1 1 1 1, Dimension too high, 0, time: 0.22720003128051758s
10 : 3 2 2 2 1, Dimension too high, 0, time: 0.14277410507202148s
10 : 3 2 2 1 1 1, Dimension too high, 0, time: 0.22426414489746094s
10 : 3 2 1 1 1 1 1, Dimension too high, 0, time: 0.3730340003967285s
10 : 3 1 1 1 1 1 1 1, Dimension too high, 0, time: 0.6923270225524902s
10 : 2 2 2 2 2, Dimension too high, 0, time: 0.14111685752868652s
10 : 2 2 2 2 1 1, Dimension too high, 0, time: 0.2225489616394043s
10 : 2 2 2 1 1 1 1, Dimension too high, 0, time: 0.3714258670806885s
10 : 2 2 1 1 1 1 1 1, Dimension too high, 0, time: 0.6533839702606201s
10 : 2 1 1 1 1 1 1 1 1, Dimension too high, 0, time: 1.2594690322875977s
9 1 : 9 1, Dimension too high, 0, time: 0.032614946365356445s
9 1 : 8 2, Dimension too high, 0, time: 0.03193402290344238s
9 1 : 8 1 1, Dimension too high, 1, time: 0.061627864837646484s
9 1 : 7 3, Dimension too high, 0, time: 0.03233194351196289s
9 1 : 7 2 1, Dimension too high, 1, time: 0.055841922760009766s
9 1 : 7 1 1 1, Dimension too high, 2, time: 0.08983087539672852s
9 1 : 6 4, Dimension too high, 0, time: 0.031909942626953125s
9 1 : 6 3 1, Dimension too high, 1, time: 0.05561995506286621s
9 1 : 6 2 2, Dimension too high, 1, time: 0.05571889877319336s
9 1 : 6 2 1 1, Dimension too high, 2, time: 0.08978605270385742s
9 1 : 6 1 1 1 1, Dimension too high, 3, time: 0.1398918628692627s
9 1 : 5 5, Dimension too high, 0, time: 0.03184390068054199s
9 1 : 5 4 1, Dimension too high, 1, time: 0.05559110641479492s
9 1 : 5 3 2, Dimension too high, 1, time: 0.05572199821472168s
9 1 : 5 3 1 1, Dimension too high, 2, time: 0.08989095687866211s
9 1 : 5 2 2 1, Dimension too high, 2, time: 0.08980202674865723s
9 1 : 5 2 1 1 1, Dimension too high, 3, time: 0.18513202667236328s
9 1 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.2501540184020996s
9 1 : 4 4 2, Dimension too high, 1, time: 0.0591130256652832s
9 1 : 4 4 1 1, Dimension too high, 2, time: 0.09531497955322266s
9 1 : 4 3 3, Dimension too high, 1, time: 0.058569908142089844s
9 1 : 4 3 2 1, Dimension too high, 2, time: 0.09568309783935547s
9 1 : 4 3 1 1 1, Dimension too high, 3, time: 0.1532118320465088s
9 1 : 4 2 2 2, Dimension too high, 2, time: 0.09680604934692383s
9 1 : 4 2 2 1 1, Dimension too high, 3, time: 0.1523120403289795s
9 1 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.24863696098327637s
9 1 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.41714906692504883s
9 1 : 3 3 3 1, Dimension too high, 2, time: 0.09634590148925781s
9 1 : 3 3 2 2, Dimension too high, 2, time: 0.09586405754089355s
9 1 : 3 3 2 1 1, Dimension too high, 3, time: 0.1513218879699707s
9 1 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.24344205856323242s
9 1 : 3 2 2 2 1, Dimension too high, 3, time: 0.15134096145629883s
9 1 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.2372298240661621s
9 1 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.3730330467224121s
9 1 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.6425020694732666s
9 1 : 2 2 2 2 2, Dimension too high, 3, time: 0.1424870491027832s
9 1 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.22326207160949707s
9 1 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.38894009590148926s
9 1 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6898770332336426s
9 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.2728629112243652s
8 2 : 8 2, Dimension too high, 0, time: 0.03565812110900879s
8 2 : 8 1 1, Dimension too high, 0, time: 0.059400081634521484s
8 2 : 7 3, Dimension too high, 0, time: 0.034297943115234375s
8 2 : 7 2 1, Dimension too high, 1, time: 0.05984187126159668s
8 2 : 7 1 1 1, Dimension too high, 2, time: 0.09685897827148438s
8 2 : 6 4, Dimension too high, 0, time: 0.034664154052734375s
8 2 : 6 3 1, Dimension too high, 1, time: 0.05667686462402344s
8 2 : 6 2 2, Dimension too high, 1, time: 0.05663895606994629s
8 2 : 6 2 1 1, Dimension too high, 2, time: 0.09121203422546387s
8 2 : 6 1 1 1 1, Dimension too high, 3, time: 0.14192509651184082s
8 2 : 5 5, Dimension too high, 0, time: 0.032366037368774414s
8 2 : 5 4 1, Dimension too high, 1, time: 0.05608391761779785s
8 2 : 5 3 2, Dimension too high, 1, time: 0.056266069412231445s
8 2 : 5 3 1 1, Dimension too high, 2, time: 0.09099507331848145s
8 2 : 5 2 2 1, Dimension too high, 2, time: 0.09071993827819824s
8 2 : 5 2 1 1 1, Dimension too high, 3, time: 0.14146685600280762s
8 2 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.22516393661499023s
8 2 : 4 4 2, Dimension too high, 1, time: 0.05664706230163574s
8 2 : 4 4 1 1, Dimension too high, 2, time: 0.09089112281799316s
8 2 : 4 3 3, Dimension too high, 1, time: 0.056269168853759766s
8 2 : 4 3 2 1, Dimension too high, 2, time: 0.09065485000610352s
8 2 : 4 3 1 1 1, Dimension too high, 3, time: 0.14166998863220215s
8 2 : 4 2 2 2, Dimension too high, 2, time: 0.09099483489990234s
8 2 : 4 2 2 1 1, Dimension too high, 3, time: 0.14190077781677246s
8 2 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.22685694694519043s
8 2 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.37122201919555664s
8 2 : 3 3 3 1, Dimension too high, 2, time: 0.09075498580932617s
8 2 : 3 3 2 2, Dimension too high, 2, time: 0.09212207794189453s
8 2 : 3 3 2 1 1, Dimension too high, 3, time: 0.1412651538848877s
8 2 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.22266101837158203s
8 2 : 3 2 2 2 1, Dimension too high, 3, time: 0.14150691032409668s
8 2 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.22223806381225586s
8 2 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.3742799758911133s
8 2 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.6431171894073486s
8 2 : 2 2 2 2 2, Dimension too high, 3, time: 0.14121413230895996s
8 2 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.22215795516967773s
8 2 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.36637306213378906s
8 2 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6380329132080078s
8 2 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.2763519287109375s
8 1 1 : 8 1 1, Dimension too high, 0, time: 0.0599210262298584s
8 1 1 : 7 3, Dimension too high, 0, time: 0.03386092185974121s
8 1 1 : 7 2 1, Dimension too high, 0, time: 0.05910086631774902s
8 1 1 : 7 1 1 1, Dimension too high, 2, time: 0.09666085243225098s
8 1 1 : 6 4, Dimension too high, 0, time: 0.03403902053833008s
