9 : 9, Unable to create polyhedron or calculate h*, NULL, time: 0.8121199607849121s
9 : 8 1, 1, 0, time: 0.42313694953918457s
9 : 7 2, 1, 0, time: 0.05074715614318848s
9 : 7 1 1, 1, 0, time: 0.13274097442626953s
9 : 6 3, 1, 0, time: 0.05077695846557617s
9 : 6 2 1, 1, 0, time: 0.09102797508239746s
9 : 6 1 1 1, 1, 0, time: 0.17652106285095215s
9 : 5 4, 1, 0, time: 0.06288504600524902s
9 : 5 3 1, 1, 0, time: 0.16530299186706543s
9 : 5 2 2, 1, 0, time: 0.09546208381652832s
9 : 5 2 1 1, 1, 0, time: 0.1439189910888672s
9 : 5 1 1 1 1, 1, 0, time: 0.25884008407592773s
9 : 4 4 1, 1, 0, time: 0.08300590515136719s
9 : 4 3 2, 1, 0, time: 0.0951240062713623s
9 : 4 3 1 1, 1, 0, time: 0.1474611759185791s
9 : 4 2 2 1, 1, 0, time: 0.14722585678100586s
9 : 4 2 1 1 1, 1, 0, time: 0.20473790168762207s
9 : 4 1 1 1 1 1, 1, 0, time: 0.3818778991699219s
9 : 3 3 3, 1, 0, time: 0.09848403930664062s
9 : 3 3 2 1, 1, 0, time: 0.14097213745117188s
9 : 3 3 1 1 1, 1, 0, time: 0.22511601448059082s
9 : 3 2 2 2, 1, 0, time: 0.15102195739746094s
9 : 3 2 2 1 1, 1, 0, time: 0.2211618423461914s
9 : 3 2 1 1 1 1, 1, 0, time: 0.3467388153076172s
9 : 3 1 1 1 1 1 1, 1, 0, time: 0.6319060325622559s
9 : 2 2 2 2 1, 1, 0, time: 0.21807503700256348s
9 : 2 2 2 1 1 1, 1, 0, time: 0.32996201515197754s
9 : 2 2 1 1 1 1 1, 1, 0, time: 0.5338268280029297s
9 : 2 1 1 1 1 1 1 1, 1, 0, time: 1.6555061340332031s
8 1 : 8 1, 1, 0, time: 0.07318305969238281s
8 1 : 7 2, 1, 0, time: 0.06538581848144531s
8 1 : 7 1 1, 1, 1, time: 0.09453988075256348s
8 1 : 6 3, 1, 0, time: 0.05897808074951172s
8 1 : 6 2 1, 1, 1, time: 0.09166812896728516s
8 1 : 6 1 1 1, 1, 2, time: 0.14865899085998535s
8 1 : 5 4, 1, 0, time: 0.05172014236450195s
8 1 : 5 3 1, 1, 1, time: 0.08632993698120117s
8 1 : 5 2 2, 1, 1, time: 0.0863041877746582s
8 1 : 5 2 1 1, 1, 2, time: 0.13799214363098145s
8 1 : 5 1 1 1 1, 1, 3, time: 0.20878386497497559s
8 1 : 4 4 1, 1, 1, time: 0.0830378532409668s
8 1 : 4 3 2, 1, 1, time: 0.08293604850769043s
8 1 : 4 3 1 1, 1, 2, time: 0.13144493103027344s
8 1 : 4 2 2 1, 1, 2, time: 0.1314859390258789s
8 1 : 4 2 1 1 1, 1, 3, time: 0.20595502853393555s
8 1 : 4 1 1 1 1 1, 1, 4, time: 0.3315720558166504s
8 1 : 3 3 3, 1, 1, time: 0.08409500122070312s
8 1 : 3 3 2 1, 1, 2, time: 0.13173890113830566s
8 1 : 3 3 1 1 1, 1, 3, time: 0.206373929977417s
8 1 : 3 2 2 2, 1, 2, time: 0.1313610076904297s
