321:21111

x11 x21 x22 x31 x32 x33 x41 x42 x43 x44     b
1    -1  0   0   0   0   0   0   0   0      0
0    1   0   -1  0   0   0   0   0   0      0
0    0   0   1   0   0   -1  0   0   0      0
0    0   0   0   0   0   1   0   0   0      3
0    0   1   0   -1  0   0   0   0   0      0
0    0   0   0   1   0   0   -1  0   0      0
0    0   0   0   0   0   0   1   0   0      2
0    0   0   0   0   1   0   0   -1  0      0
0    0   0   0   0   0   0   0   1   0      1
0    0   0   0   0   0   0   0   0   1      0
----------------------------------------------
-1   0   1   0   0   0   0   0   0   0      0
0    0   -1  0   0   1   0   0   0   0      0
0    0   0   0   0   -1  0   0   0   1      0
0    0   0   0   0   0   0   0   0   -1     0
0    -1  0   0   1   0   0   0   0   0      0
0    0   0   0   -1  0   0   0   1   0      0
0    0   0   0   0   0   0   0   -1  0      0
0    0   0   -1  0   0   0   1   0   0      0
0    0   0   0   0   0   0   -1  0   0      1
0    0   0   0   0   0   -1  0   0   0      2
---------------------------------------------
1    0   0   0   0   0   0   0   0   0      2
-1   0   0   0   0   0   0   0   0   0      -2
0    1   1   0   0   0   0   0   0   0      3
0    -1 -1   0   0   0   0   0   0   0      -3
0    0   0   1   1   1   0   0   0   0      4
0    0   0   -1  -1  -1  0   0   0   0      -4
0    0   0   0   0   0   1   1   1   1      5
0    0   0   0   0   0   -1  -1  -1  -1      -5
